trip_headsign,service_id,direction_id,block_id,route_id,shape_id,wheelchair_accessible,direction_name,trip_id
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4027_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1188__4027_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4024_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1189__4024_Timetable_-_2024-02
Oshawa Station,Weekday_merged_999976,1,a_4018_Timetable_-_2024-02,403,100.0.1046829271_Timetable_-_2024-02,1,Southbound,118__4018_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4070_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1190__4070_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4020_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1191__4020_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4027_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1192__4027_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4017_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1193__4017_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4029_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1194__4029_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4011_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1195__4011_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4068_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1196__4068_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4029_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1197__4029_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4028_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1198__4028_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4017_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1199__4017_Timetable_-_2024-02
Oshawa Station,Weekday_merged_999976,1,a_4016_Timetable_-_2024-02,403,100.0.1046829271_Timetable_-_2024-02,1,Southbound,119__4016_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4022_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1200__4022_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4068_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1201__4068_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4022_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1202__4022_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4067_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1203__4067_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4001_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1204__4001_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4022_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1205__4022_Timetable_-_2024-02
Harmony Terminal,Weekday_merged_999976,0,a_4024_Timetable_-_2024-02,423,100.0.1672883331_Timetable_-_2024-02,1,Northbound,1206__4024_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4020_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1207__4020_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4068_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1208__4068_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4071_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1209__4071_Timetable_-_2024-02
Oshawa Station,Weekday_merged_999976,1,a_4069_Timetable_-_2024-02,403,100.0.1046829271_Timetable_-_2024-02,1,Southbound,120__4069_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4011_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1210__4011_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4068_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1211__4068_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4075_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1212__4075_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4067_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1213__4067_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4001_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1214__4001_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4022_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1215__4022_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,1,a_4024_Timetable_-_2024-02,423,100.0.1672883332_Timetable_-_2024-02,1,Southbound,1216__4024_Timetable_-_2024-02
