stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
355902,4421,GARNER opposite JOHN FREDERICK,GARNER RD E & JOHN FREDERICK DR,43.204908,-79.962804,,,,,,0
355903,2694,LAKESHORE at NORTH SHORE,LAKESHORE RD & NORTHSHORE BV,43.319422,-79.801534,,,,,,0
355923,5623,VAN WAGNERS at CONFEDERATION MAIN GATE,VAN WAGNER'S BEACH RD & CONFEDERATION DR,43.250548,-79.759916,,,,,,0
355924,5622,VAN WAGNERS BEACH opposite CONFEDERATION MAIN GATE,VAN WAGNER'S BEACH RD & PRIVATE RD,43.250942,-79.760275,,,,,,0
355925,9223,JOHN opposite HAMILTON GO CENTRE,JOHN ST S & HAYMARKET ST,43.252208,-79.86805,,,,,,0
355928,2537,BARTON at DEWITT,BARTON ST & DEWITT RD,43.224926,-79.71094,,,,,,0
355930,2320,CHEDMAC at EXTENDICARE,CHEDMAC DR & EXTENDICARE,43.237912,-79.921011,,,,,,0
355931,4489,GARNER at GLANCASTER,GARNER RD E & GLANCASTER RD,43.210157,-79.930377,,,,,,0
355932,4475,GARNER opposite REDEEMER UNIVERSITY COLLEGE,GARNER RD E & PRIVATE RD,43.207108,-79.949201,,,,,,0
355933,4407,UPPER CENTENNIAL opposite SOUTH MOUNT HEALTH CENTRE,UP/CENTENNIAL PY & PRIVATE RD,43.175889,-79.775416,,,,,,0
355934,4412,UPPER CENTENNIAL at SOUTH MOUNT HEALTH CENTRE,UP/CENTENNIAL PY & PRIVATE RD,43.176015,-79.77549,,,,,,0
355935,4414,RYMAL at UPPER CENTENNIAL,RYMAL RD E & UP/CENTENNIAL PY,43.17369,-79.778375,,,,,,0
355936,4470,RYMAL at MEADOWBANK,RYMAL RD W & MEADOWBANK DR,43.210149,-79.925132,,,,,,0
355937,2466,FIRST opposite MAPLEWOOD GREEN PARK,FIRST RD W & MAPLEWOOD GREEN PARK,43.18631,-79.782024,,,,,,0
355938,2766,BEACH opposite SKYWAY PARK,BEACH BV & KIRK RD,43.268726,-79.775551,,,,,,0
355939,2955,LONGWOOD at MCMASTER INNOVATION PARK,LONGWOOD RD S & MCMASTER INNOVATION PARK,43.256547,-79.901331,,,,,,0
355940,2936,LONGWOOD opposite MCMASTER INNOVATION PARK,LONGWOOD RD S & MCMASTER INNOVATION PARK OPP,43.257031,-79.901479,,,,,,0
355941,1343,MACKLIN at CORONATION ARENA,MACKLIN ST N & CORONATION ARENA,43.264526,-79.895661,,,,,,0
355942,1152,KING opposite STONEY CREEK CEMETERY,KING ST E & CENTENNIAL PY S,43.219555,-79.769656,,,,,,0
355943,1104,GOVERNOR'S at MAIN,GOVERNOR'S RD & MAIN ST,43.26313,-79.953173,,,,,,0
355945,2679,BURLINGTON at HOBSON,BURLINGTON ST E & HOBSON RD,43.256636,-79.796009,,,,,,0
355946,2728,QUEENSTON opposite QUEENSTON PLACE,QUEENSTON RD & PRIVATE RD,43.230774,-79.77686,,,,,,0
355947,2720,QUEENSTON at QUEENSTON PLACE,QUEENSTON RD & PRIVATE RD,43.230586,-79.776501,,,,,,0
355949,4476,GARNER at REDEEMER UNIVERSITY COLLEGE,GARNER RD E & PRIVATE RD,43.207233,-79.94883,,,,,,0
355952,2073,UPPER OTTAWA opposite QUEENSDALE,UP/OTTAWA ST & QUEENSDALE AV E,43.22939,-79.827801,,,,,,0
355954,2604,MAIN at COTTRILL,MAIN ST W & COTTRILL ST,43.257539,-79.927844,,,,,,0
355956,4237,MOHAWK at UPPER OTTAWA,MOHAWK RD E & UP/ OTTAWA ST,43.216686,-79.832986,,,,,,0
355959,4254,MOHAWK 4 ICE CENTRE,MOUNTAIN BROW BV & MOHAWK 4 ICE CENTRE,43.208885,-79.816407,,,,,,0
355960,2472,HIGHLAND at CHAUMONT,HIGHLAND RD W & CHAUMONT DR,43.183426,-79.781547,,,,,,0
355962,1616,MEADOWLANDS TERMINAL PLATFORM 3,MARTINDALE CR & LEGEND CT,43.228278,-79.944983,,,,,,0
355964,2764,BEACH at HAMILTON BEACH RESCUE UNIT,BEACH BV & DYNES PARK,43.272087,-79.778466,,,,,,0
355966,1264,YORK at DUNDURN CASTLE,YORK BV & DUNDURN ST N,43.268546,-79.885546,,,,,,0
355967,4245,MOHAWK at UPPER KENILWORTH,MOHAWK RD E & UPPER KENILWORTH AV,43.21419,-79.822462,,,,,,0
355969,1196,MAIN at OSLER,MAIN ST W & OSLER DR,43.257425,-79.934654,,,,,,0
355970,1205,OSLER opposite UNIVERSITY PLAZA,OSLER DR & OSLER CT,43.259775,-79.942707,,,,,,0
355971,1107,OSLER at UNIVERSITY PLAZA,OSLER DR & OSLER CT,43.259409,-79.942459,,,,,,0
355972,1372,GOVERNOR'S at DUNDAS VALLEY SCHOOL,GOVERNOR'S RD & BRIDLEWOOD DR,43.25874,-79.976193,,,,,,0
355973,2493,GREENHILL at GREENHILL CENTRE,GREENHILL AV & QUIGLEY RD,43.209667,-79.786547,,,,,,0
355974,1427,GARNER at DUFF'S CORNERS,GARNER RD W & RAMP GARNER WB TO WILSON EB,43.195028,-80.021909,,,,,,0
355976,2293,UPPER JAMES at ALDERLEA,UPPER JAMES ST & ALDERLEA AV,43.195689,-79.896486,,,,,,0
355977,9205,UPPER JAMES at TWENTY,UPPER JAMES ST & TWENTY RD E,43.191534,-79.898181,,,,,,0
355979,1502,RYMAL at GARTH,RYMAL RD W & GARTH ST,43.207124,-79.912564,,,,,,0
355980,1528,RYMAL at WEST 5TH,RYMAL RD W & WEST 5TH ST,43.20355,-79.89772,,,,,,0
355981,1504,RYMAL at UPPER JAMES,RYMAL RD E & UPPER JAMES ST,43.202109,-79.891895,,,,,,0
355982,1508,RYMAL at UPPER WELLINGTON,RYMAL RD E & UPPER WELLINGTON ST,43.200084,-79.8835,,,,,,0
355983,1367,RYMAL at TURNER PARK,RYMAL RD E & PRIVATE RD,43.198901,-79.878702,,,,,,0
355984,1367,RYMAL at UPPER WENTWORTH WEST,RYMAL RD E & UPPER WENTWORTH ST,43.197942,-79.874596,,,,,,0
355985,1516,RYMAL at UPPER WENTWORTH,RYMAL RD E & UPPER WENTWORTH ST,43.197619,-79.873397,,,,,,0
355986,4452,RYMAL at SULMONA,RYMAL RD E & SULMONA DR,43.193298,-79.856086,,,,,,0
355987,1532,RYMAL at UPPER GAGE,RYMAL RD E & UPPER GAGE AV,43.192796,-79.854058,,,,,,0
